property_id,neighborhood_id,property_type,bedrooms,bathrooms,area_sqm,year_built,parking_spaces,floor,furnished,amenities,description
P0022,N04,Apartment,4,1,116,2021,1,4,0,security|storage|garden|elevator|rooftop,"Renovated 4-bedroom apartment in Lakeside. Includes security, storage, garden, elevator, rooftop. 116 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0023,N06,Apartment,4,1,136,2009,1,8,0,parking|rooftop|storage|security,"Spacious 4-bedroom apartment in Old Town. Includes parking, rooftop, storage, security. 136 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0024,N05,Townhouse,2,4,187,2014,2,2,0,storage|elevator|security|rooftop|parking,"Spacious 2-bedroom townhouse in Greenfield. Includes storage, elevator, security, rooftop, parking. 187 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0025,N06,House,3,5,185,2017,3,1,1,parking|security,"Spacious 3-bedroom house in Old Town. Includes parking, security. 185 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0026,N04,Apartment,4,2,151,1993,0,16,1,security|parking,"Family-friendly 4-bedroom apartment in Lakeside. Includes security, parking. 151 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0027,N02,House,6,3,242,1999,1,3,1,rooftop|security|gym,"Quiet 6-bedroom house in Midtown. Includes rooftop, security, gym. 242 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0028,N05,Apartment,3,3,131,2004,1,13,0,parking|security|gym,"Family-friendly 3-bedroom apartment in Greenfield. Includes parking, security, gym. 131 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0029,N01,House,5,2,341,2001,2,3,0,elevator|rooftop|storage,"Spacious 5-bedroom house in Riverside. Includes elevator, rooftop, storage. 341 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0030,N04,House,5,4,134,2003,2,2,0,security|storage|gym,"Quiet 5-bedroom house in Lakeside. Includes security, storage, gym. 134 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0031,N05,House,5,5,349,2010,1,1,0,garden|gym|security|elevator|storage,"Spacious 5-bedroom house in Greenfield. Includes garden, gym, security, elevator, storage. 349 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0032,N06,Apartment,1,1,69,2009,1,16,1,parking|storage|rooftop|gym,"Bright 1-bedroom apartment in Old Town. Includes parking, storage, rooftop, gym. 69 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0033,N04,Apartment,1,2,105,2013,1,15,0,elevator|storage,"Spacious 1-bedroom apartment in Lakeside. Includes elevator, storage. 105 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0034,N06,Apartment,2,3,166,2007,1,3,0,garden|storage|elevator|rooftop|security,"Spacious 2-bedroom apartment in Old Town. Includes garden, storage, elevator, rooftop, security. 166 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0035,N02,Apartment,1,1,75,1996,1,18,0,storage|garden,"Family-friendly 1-bedroom apartment in Midtown. Includes storage, garden. 75 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0036,N06,House,3,5,178,2001,3,2,0,parking|balcony|rooftop,"Quiet 3-bedroom house in Old Town. Includes parking, balcony, rooftop. 178 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0037,N05,Apartment,1,1,158,2008,1,11,0,garden|security,"Renovated 1-bedroom apartment in Greenfield. Includes garden, security. 158 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0038,N02,Townhouse,5,4,215,2014,1,2,0,security|rooftop|balcony|parking,"Quiet 5-bedroom townhouse in Midtown. Includes security, rooftop, balcony, parking. 215 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0039,N01,Townhouse,5,4,90,1995,2,2,0,rooftop|security|garden|balcony,"Bright 5-bedroom townhouse in Riverside. Includes rooftop, security, garden, balcony. 90 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0040,N02,Apartment,1,2,56,2021,1,4,0,rooftop|security|gym,"Renovated 1-bedroom apartment in Midtown. Includes rooftop, security, gym. 56 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0041,N06,Townhouse,2,3,196,2009,2,3,0,elevator|storage|rooftop|security,"Family-friendly 2-bedroom townhouse in Old Town. Includes elevator, storage, rooftop, security. 196 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0042,N02,Townhouse,3,4,188,1994,1,2,0,storage|garden|security|parking|rooftop,"Modern 3-bedroom townhouse in Midtown. Includes storage, garden, security, parking, rooftop. 188 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0043,N04,Apartment,2,2,156,2022,1,3,0,storage|security|balcony|gym,"Family-friendly 2-bedroom apartment in Lakeside. Includes storage, security, balcony, gym. 156 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0044,N06,Apartment,1,1,101,1993,1,10,0,balcony|gym|storage|security,"Spacious 1-bedroom apartment in Old Town. Includes balcony, gym, storage, security. 101 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0045,N04,House,3,5,193,2008,1,3,0,balcony|storage|garden|gym,"Family-friendly 3-bedroom house in Lakeside. Includes balcony, storage, garden, gym. 193 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0046,N04,Townhouse,2,2,187,2010,2,3,1,balcony|storage|security|garden,"Quiet 2-bedroom townhouse in Lakeside. Includes balcony, storage, security, garden. 187 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0047,N06,Apartment,3,1,122,2004,1,8,1,gym|security|balcony|storage,"Quiet 3-bedroom apartment in Old Town. Includes gym, security, balcony, storage. 122 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0048,N02,Apartment,4,2,140,2021,1,4,0,garden|storage|security,"Family-friendly 4-bedroom apartment in Midtown. Includes garden, storage, security. 140 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0049,N03,House,4,5,310,2022,1,2,0,garden|security|balcony|rooftop,"Family-friendly 4-bedroom house in Northgate. Includes garden, security, balcony, rooftop. 310 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0050,N04,Apartment,4,3,140,1998,1,14,0,elevator|balcony|security|gym|parking,"Spacious 4-bedroom apartment in Lakeside. Includes elevator, balcony, security, gym, parking. 140 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0051,N02,Townhouse,5,2,144,2013,1,2,0,garden|balcony|elevator,"Bright 5-bedroom townhouse in Midtown. Includes garden, balcony, elevator. 144 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0052,N05,Apartment,2,1,129,1992,0,5,0,security|balcony|parking,"Quiet 2-bedroom apartment in Greenfield. Includes security, balcony, parking. 129 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0053,N04,Apartment,3,3,120,2024,0,15,0,elevator|garden,"Family-friendly 3-bedroom apartment in Lakeside. Includes elevator, garden. 120 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0054,N05,Apartment,3,2,121,2021,2,10,1,parking|storage|security|balcony|rooftop,"Spacious 3-bedroom apartment in Greenfield. Includes parking, storage, security, balcony, rooftop. 121 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0055,N03,Townhouse,5,2,113,2019,1,2,0,gym|elevator|balcony|storage,"Renovated 5-bedroom townhouse in Northgate. Includes gym, elevator, balcony, storage. 113 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0056,N03,Apartment,2,1,129,1998,1,8,0,parking|storage|gym|elevator,"Bright 2-bedroom apartment in Northgate. Includes parking, storage, gym, elevator. 129 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0057,N03,House,4,4,299,2001,1,2,1,parking|rooftop|security|balcony|elevator,"Family-friendly 4-bedroom house in Northgate. Includes parking, rooftop, security, balcony, elevator. 299 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0058,N01,Apartment,1,1,79,2023,1,14,1,storage|gym|parking|elevator|balcony,"Quiet 1-bedroom apartment in Riverside. Includes storage, gym, parking, elevator, balcony. 79 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0059,N01,Apartment,2,1,142,2012,1,10,0,rooftop|security,"Spacious 2-bedroom apartment in Riverside. Includes rooftop, security. 142 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0060,N04,Townhouse,2,3,94,2012,2,2,1,storage|security|rooftop|garden|gym,"Modern 2-bedroom townhouse in Lakeside. Includes storage, security, rooftop, garden, gym. 94 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0061,N04,House,6,2,322,2006,2,2,0,parking|elevator|security,"Modern 6-bedroom house in Lakeside. Includes parking, elevator, security. 322 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0062,N03,Apartment,2,3,54,2021,1,16,1,security|storage|rooftop|gym|parking,"Spacious 2-bedroom apartment in Northgate. Includes security, storage, rooftop, gym, parking. 54 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0063,N01,Apartment,1,2,104,1995,1,2,0,parking|security|balcony|elevator,"Renovated 1-bedroom apartment in Riverside. Includes parking, security, balcony, elevator. 104 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0064,N05,Apartment,2,1,102,1997,0,11,1,balcony|parking|security,"Spacious 2-bedroom apartment in Greenfield. Includes balcony, parking, security. 102 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0065,N05,House,4,4,196,2001,2,1,0,storage|parking|elevator|balcony,"Quiet 4-bedroom house in Greenfield. Includes storage, parking, elevator, balcony. 196 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0066,N06,House,6,4,129,2003,2,2,0,rooftop|parking|storage|security,"Bright 6-bedroom house in Old Town. Includes rooftop, parking, storage, security. 129 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0067,N06,Townhouse,2,4,176,2016,1,3,0,gym|storage|security,"Renovated 2-bedroom townhouse in Old Town. Includes gym, storage, security. 176 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0068,N02,Apartment,4,2,143,2024,1,13,1,gym|storage|parking|elevator|security,"Quiet 4-bedroom apartment in Midtown. Includes gym, storage, parking, elevator, security. 143 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0069,N05,Townhouse,4,2,131,2024,2,2,0,parking|rooftop|garden|gym|balcony,"Spacious 4-bedroom townhouse in Greenfield. Includes parking, rooftop, garden, gym, balcony. 131 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0070,N01,House,4,3,190,2022,1,2,1,rooftop|garden|elevator,"Modern 4-bedroom house in Riverside. Includes rooftop, garden, elevator. 190 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0071,N04,House,6,5,152,1993,1,3,1,gym|rooftop|garden,"Modern 6-bedroom house in Lakeside. Includes gym, rooftop, garden. 152 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0072,N05,House,5,5,142,2015,3,3,0,security|storage,"Modern 5-bedroom house in Greenfield. Includes security, storage. 142 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0073,N06,Apartment,4,3,106,1996,1,5,1,balcony|gym|parking|rooftop|security,"Modern 4-bedroom apartment in Old Town. Includes balcony, gym, parking, rooftop, security. 106 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0074,N01,Townhouse,4,3,121,2017,2,2,1,storage|gym|parking|garden|elevator,"Quiet 4-bedroom townhouse in Riverside. Includes storage, gym, parking, garden, elevator. 121 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0075,N06,Apartment,4,2,102,2019,0,12,0,parking|security,"Family-friendly 4-bedroom apartment in Old Town. Includes parking, security. 102 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0076,N01,Apartment,3,2,94,2001,2,2,1,security|gym|garden|balcony|parking,"Renovated 3-bedroom apartment in Riverside. Includes security, gym, garden, balcony, parking. 94 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0077,N03,House,5,3,266,2004,3,3,0,parking|garden|rooftop,"Family-friendly 5-bedroom house in Northgate. Includes parking, garden, rooftop. 266 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0078,N02,House,3,4,380,2004,1,1,0,rooftop|balcony|gym,"Renovated 3-bedroom house in Midtown. Includes rooftop, balcony, gym. 380 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0079,N04,Apartment,4,3,54,1996,1,11,0,security|parking|elevator|rooftop|storage,"Bright 4-bedroom apartment in Lakeside. Includes security, parking, elevator, rooftop, storage. 54 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0080,N03,Townhouse,4,2,154,2009,1,3,0,parking|elevator|security|rooftop,"Renovated 4-bedroom townhouse in Northgate. Includes parking, elevator, security, rooftop. 154 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0081,N05,Apartment,2,3,98,2023,2,1,1,elevator|garden|parking|storage,"Quiet 2-bedroom apartment in Greenfield. Includes elevator, garden, parking, storage. 98 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0082,N06,Townhouse,4,3,123,1998,2,3,0,rooftop|balcony|gym,"Spacious 4-bedroom townhouse in Old Town. Includes rooftop, balcony, gym. 123 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0083,N02,House,6,4,217,2024,1,3,0,elevator|garden|balcony|security|storage,"Renovated 6-bedroom house in Midtown. Includes elevator, garden, balcony, security, storage. 217 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0084,N03,Apartment,1,2,62,2017,1,12,0,storage|balcony,"Renovated 1-bedroom apartment in Northgate. Includes storage, balcony. 62 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0085,N05,Apartment,1,2,92,2015,1,18,0,storage|elevator|balcony,"Modern 1-bedroom apartment in Greenfield. Includes storage, elevator, balcony. 92 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0086,N02,House,6,3,287,2002,3,2,0,security|elevator|storage|rooftop,"Spacious 6-bedroom house in Midtown. Includes security, elevator, storage, rooftop. 287 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0087,N06,House,6,5,255,1995,3,2,1,gym|elevator|security|storage|garden,"Bright 6-bedroom house in Old Town. Includes gym, elevator, security, storage, garden. 255 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0088,N06,House,3,3,286,2025,3,3,0,gym|garden|elevator|rooftop,"Renovated 3-bedroom house in Old Town. Includes gym, garden, elevator, rooftop. 286 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0089,N05,Apartment,3,2,135,2012,1,16,0,elevator|gym|balcony|rooftop,"Family-friendly 3-bedroom apartment in Greenfield. Includes elevator, gym, balcony, rooftop. 135 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0090,N03,Townhouse,4,4,212,2009,1,2,1,gym|balcony|elevator|security,"Bright 4-bedroom townhouse in Northgate. Includes gym, balcony, elevator, security. 212 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0091,N01,Apartment,3,3,105,1992,0,5,1,storage|security|garden,"Spacious 3-bedroom apartment in Riverside. Includes storage, security, garden. 105 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0092,N06,Townhouse,2,2,196,2017,1,2,0,elevator|balcony|storage,"Quiet 2-bedroom townhouse in Old Town. Includes elevator, balcony, storage. 196 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0093,N05,Apartment,2,1,87,2008,1,15,1,balcony|security|gym,"Quiet 2-bedroom apartment in Greenfield. Includes balcony, security, gym. 87 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0094,N01,Apartment,2,2,86,2008,1,1,0,rooftop|storage|gym,"Quiet 2-bedroom apartment in Riverside. Includes rooftop, storage, gym. 86 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0095,N04,House,4,2,271,2006,2,2,0,gym|garden|security|elevator|rooftop,"Spacious 4-bedroom house in Lakeside. Includes gym, garden, security, elevator, rooftop. 271 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0096,N04,Apartment,3,1,162,1995,2,4,1,gym|parking|rooftop,"Renovated 3-bedroom apartment in Lakeside. Includes gym, parking, rooftop. 162 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0097,N04,Apartment,1,2,131,2017,1,1,0,garden|elevator,"Modern 1-bedroom apartment in Lakeside. Includes garden, elevator. 131 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0098,N01,Apartment,2,1,143,2016,1,12,0,storage|balcony|security|elevator|parking,"Family-friendly 2-bedroom apartment in Riverside. Includes storage, balcony, security, elevator, parking. 143 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0099,N04,Apartment,2,1,103,2009,1,5,0,balcony|storage,"Family-friendly 2-bedroom apartment in Lakeside. Includes balcony, storage. 103 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0100,N06,Townhouse,3,4,101,2006,2,2,1,balcony|parking|elevator,"Quiet 3-bedroom townhouse in Old Town. Includes balcony, parking, elevator. 101 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0101,N03,Townhouse,3,3,166,2003,2,2,1,rooftop|balcony|gym|garden|security,"Family-friendly 3-bedroom townhouse in Northgate. Includes rooftop, balcony, gym, garden, security. 166 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0102,N04,Townhouse,5,3,232,2007,1,2,0,security|rooftop|balcony,"Spacious 5-bedroom townhouse in Lakeside. Includes security, rooftop, balcony. 232 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0103,N06,House,5,3,290,2005,2,1,0,rooftop|parking,"Family-friendly 5-bedroom house in Old Town. Includes rooftop, parking. 290 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0104,N03,Apartment,4,2,57,2005,1,11,0,storage|balcony|elevator|parking,"Family-friendly 4-bedroom apartment in Northgate. Includes storage, balcony, elevator, parking. 57 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0105,N03,Apartment,2,2,115,2023,1,9,1,rooftop|parking|security|gym|storage,"Bright 2-bedroom apartment in Northgate. Includes rooftop, parking, security, gym, storage. 115 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0106,N06,Apartment,1,2,62,2001,1,3,0,rooftop|gym|balcony,"Renovated 1-bedroom apartment in Old Town. Includes rooftop, gym, balcony. 62 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0107,N06,Apartment,3,1,109,1998,1,6,0,garden|parking|elevator,"Renovated 3-bedroom apartment in Old Town. Includes garden, parking, elevator. 109 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0108,N03,House,2,2,167,2016,2,3,1,balcony|security|rooftop|parking|storage,"Spacious 2-bedroom house in Northgate. Includes balcony, security, rooftop, parking, storage. 167 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0109,N06,Townhouse,2,2,170,2001,1,2,1,parking|gym|rooftop|elevator|security,"Renovated 2-bedroom townhouse in Old Town. Includes parking, gym, rooftop, elevator, security. 170 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0110,N01,Apartment,4,2,48,2023,1,15,0,storage|garden|parking|elevator,"Family-friendly 4-bedroom apartment in Riverside. Includes storage, garden, parking, elevator. 48 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0111,N06,Apartment,3,1,56,2020,0,10,0,parking|rooftop|balcony|storage,"Spacious 3-bedroom apartment in Old Town. Includes parking, rooftop, balcony, storage. 56 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0112,N04,Apartment,4,2,144,2007,0,18,1,storage|parking|rooftop,"Quiet 4-bedroom apartment in Lakeside. Includes storage, parking, rooftop. 144 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0113,N06,House,6,3,354,2011,1,2,0,security|storage|elevator|garden|gym,"Spacious 6-bedroom house in Old Town. Includes security, storage, elevator, garden, gym. 354 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0114,N02,Townhouse,4,3,215,2016,1,2,0,security|balcony|elevator|parking|rooftop,"Family-friendly 4-bedroom townhouse in Midtown. Includes security, balcony, elevator, parking, rooftop. 215 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0115,N02,Apartment,2,3,99,2020,1,3,1,storage|elevator|rooftop|garden|balcony,"Quiet 2-bedroom apartment in Midtown. Includes storage, elevator, rooftop, garden, balcony. 99 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0116,N05,Apartment,4,2,168,1992,1,4,0,garden|elevator|security|storage,"Renovated 4-bedroom apartment in Greenfield. Includes garden, elevator, security, storage. 168 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0117,N04,Apartment,4,1,59,2011,1,12,0,garden|elevator|rooftop|gym|security,"Modern 4-bedroom apartment in Lakeside. Includes garden, elevator, rooftop, gym, security. 59 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0118,N06,House,3,3,201,2021,2,3,0,gym|parking|security|garden|elevator,"Modern 3-bedroom house in Old Town. Includes gym, parking, security, garden, elevator. 201 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0119,N01,House,6,3,307,2021,2,2,0,rooftop|elevator|security|gym,"Renovated 6-bedroom house in Riverside. Includes rooftop, elevator, security, gym. 307 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0120,N05,Apartment,2,2,60,1999,1,10,0,gym|elevator|garden|security,"Renovated 2-bedroom apartment in Greenfield. Includes gym, elevator, garden, security. 60 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0121,N05,Apartment,3,1,68,1995,1,15,0,rooftop|parking,"Bright 3-bedroom apartment in Greenfield. Includes rooftop, parking. 68 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0122,N02,Apartment,3,1,113,2021,1,6,1,parking|elevator|balcony|gym|storage,"Renovated 3-bedroom apartment in Midtown. Includes parking, elevator, balcony, gym, storage. 113 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0123,N01,House,3,3,299,2002,3,3,1,garden|storage|parking,"Modern 3-bedroom house in Riverside. Includes garden, storage, parking. 299 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0124,N01,Apartment,4,1,80,2007,1,5,0,garden|storage|security|rooftop,"Spacious 4-bedroom apartment in Riverside. Includes garden, storage, security, rooftop. 80 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0125,N01,House,2,5,262,2021,3,2,0,balcony|storage|security|rooftop,"Family-friendly 2-bedroom house in Riverside. Includes balcony, storage, security, rooftop. 262 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0126,N05,Townhouse,4,4,102,2021,1,2,0,gym|garden,"Spacious 4-bedroom townhouse in Greenfield. Includes gym, garden. 102 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0127,N06,Apartment,3,1,128,1997,1,9,0,balcony|garden|security,"Quiet 3-bedroom apartment in Old Town. Includes balcony, garden, security. 128 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0128,N05,House,2,2,295,2000,1,3,0,garden|rooftop,"Modern 2-bedroom house in Greenfield. Includes garden, rooftop. 295 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0129,N05,House,6,3,345,2001,2,2,0,garden|balcony|storage|parking|security,"Renovated 6-bedroom house in Greenfield. Includes garden, balcony, storage, parking, security. 345 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0130,N06,House,2,4,225,2017,3,2,0,garden|rooftop,"Spacious 2-bedroom house in Old Town. Includes garden, rooftop. 225 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0131,N02,Apartment,4,2,114,1996,1,16,0,balcony|gym,"Bright 4-bedroom apartment in Midtown. Includes balcony, gym. 114 sqm with 2 bathroom(s), with convenient access to schools and transport."
